instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s
eil51,lkh,1.0,1,426,426,0.0,0.028215
eil51,lkh,1.0,2,426,426,0.0,0.029757
eil51,lkh,1.0,3,426,426,0.0,0.021510
eil51,lkh,1.0,4,426,426,0.0,0.020520
eil51,lkh,1.0,5,426,426,0.0,0.021314
eil51,lkh,1.0,6,426,426,0.0,0.020714
eil51,lkh,1.0,7,426,426,0.0,0.020415
eil51,lkh,1.0,8,426,426,0.0,0.021422
eil51,lkh,1.0,9,426,426,0.0,0.023658
eil51,lkh,1.0,10,426,426,0.0,0.020727
eil51,lkh,1.0,11,426,426,0.0,0.018577
eil51,lkh,1.0,12,426,426,0.0,0.017318
eil51,lkh,1.0,13,426,426,0.0,0.021111
eil51,lkh,1.0,14,426,426,0.0,0.020187
eil51,lkh,1.0,15,426,426,0.0,0.018201
eil51,lkh,1.0,16,426,426,0.0,0.019501
eil51,lkh,1.0,17,426,426,0.0,0.022417
eil51,lkh,1.0,18,426,426,0.0,0.019155
eil51,lkh,1.0,19,426,426,0.0,0.019136
eil51,lkh,1.0,20,426,426,0.0,0.018603
eil51,lkh,1.0,21,426,426,0.0,0.019761
eil51,lkh,1.0,22,426,426,0.0,0.019586
eil51,lkh,1.0,23,426,426,0.0,0.021016
eil51,lkh,1.0,24,426,426,0.0,0.019670
eil51,lkh,1.0,25,426,426,0.0,0.020025
eil51,lkh,1.0,26,426,426,0.0,0.021257
eil51,lkh,1.0,27,426,426,0.0,0.020292
eil51,lkh,1.0,28,426,426,0.0,0.026338
eil51,lkh,1.0,29,426,426,0.0,0.025774
eil51,lkh,1.0,30,426,426,0.0,0.023375
eil51,lkh,30.0,1,426,426,0.0,0.020377
eil51,lkh,30.0,2,426,426,0.0,0.022074
eil51,lkh,30.0,3,426,426,0.0,0.020643
eil51,lkh,30.0,4,426,426,0.0,0.019085
eil51,lkh,30.0,5,426,426,0.0,0.019797
eil51,lkh,30.0,6,426,426,0.0,0.020550
eil51,lkh,30.0,7,426,426,0.0,0.019114
eil51,lkh,30.0,8,426,426,0.0,0.021390
eil51,lkh,30.0,9,426,426,0.0,0.022662
eil51,lkh,30.0,10,426,426,0.0,0.022691
eil51,lkh,30.0,11,426,426,0.0,0.017558
eil51,lkh,30.0,12,426,426,0.0,0.016945
eil51,lkh,30.0,13,426,426,0.0,0.019963
eil51,lkh,30.0,14,426,426,0.0,0.020873
eil51,lkh,30.0,15,426,426,0.0,0.020170
eil51,lkh,30.0,16,426,426,0.0,0.019525
eil51,lkh,30.0,17,426,426,0.0,0.024218
eil51,lkh,30.0,18,426,426,0.0,0.020263
eil51,lkh,30.0,19,426,426,0.0,0.018959
eil51,lkh,30.0,20,426,426,0.0,0.017999
eil51,lkh,30.0,21,426,426,0.0,0.030853
eil51,lkh,30.0,22,426,426,0.0,0.028091
eil51,lkh,30.0,23,426,426,0.0,0.021564
eil51,lkh,30.0,24,426,426,0.0,0.019399
eil51,lkh,30.0,25,426,426,0.0,0.019759
eil51,lkh,30.0,26,426,426,0.0,0.021584
eil51,lkh,30.0,27,426,426,0.0,0.020869
eil51,lkh,30.0,28,426,426,0.0,0.021436
eil51,lkh,30.0,29,426,426,0.0,0.020808
eil51,lkh,30.0,30,426,426,0.0,0.022128
eil51,lkh,300.0,1,426,426,0.0,0.018409
eil51,lkh,300.0,2,426,426,0.0,0.019251
eil51,lkh,300.0,3,426,426,0.0,0.021363
eil51,lkh,300.0,4,426,426,0.0,0.021228
eil51,lkh,300.0,5,426,426,0.0,0.019855
eil51,lkh,300.0,6,426,426,0.0,0.020135
eil51,lkh,300.0,7,426,426,0.0,0.019419
eil51,lkh,300.0,8,426,426,0.0,0.020073
eil51,lkh,300.0,9,426,426,0.0,0.024945
eil51,lkh,300.0,10,426,426,0.0,0.020610
eil51,lkh,300.0,11,426,426,0.0,0.017693
eil51,lkh,300.0,12,426,426,0.0,0.019019
eil51,lkh,300.0,13,426,426,0.0,0.022881
eil51,lkh,300.0,14,426,426,0.0,0.020716
eil51,lkh,300.0,15,426,426,0.0,0.019372
eil51,lkh,300.0,16,426,426,0.0,0.019541
eil51,lkh,300.0,17,426,426,0.0,0.022565
eil51,lkh,300.0,18,426,426,0.0,0.020658
eil51,lkh,300.0,19,426,426,0.0,0.020240
eil51,lkh,300.0,20,426,426,0.0,0.020260
eil51,lkh,300.0,21,426,426,0.0,0.020150
eil51,lkh,300.0,22,426,426,0.0,0.018629
eil51,lkh,300.0,23,426,426,0.0,0.021392
eil51,lkh,300.0,24,426,426,0.0,0.019275
eil51,lkh,300.0,25,426,426,0.0,0.021106
eil51,lkh,300.0,26,426,426,0.0,0.023821
eil51,lkh,300.0,27,426,426,0.0,0.021980
eil51,lkh,300.0,28,426,426,0.0,0.020956
eil51,lkh,300.0,29,426,426,0.0,0.021060
eil51,lkh,300.0,30,426,426,0.0,0.022900
eil51,EdgeRand,1.0,1,1622,426,280.7511737089202,0.000391
eil51,EdgeRand,1.0,2,1656,426,288.7323943661972,0.000382
eil51,EdgeRand,1.0,3,1805,426,323.70892018779347,0.000346
eil51,EdgeRand,1.0,4,1574,426,269.4835680751174,0.000346
eil51,EdgeRand,1.0,5,1632,426,283.09859154929575,0.000325
eil51,EdgeRand,1.0,6,1708,426,300.93896713615027,0.000627
eil51,EdgeRand,1.0,7,1614,426,278.8732394366197,0.000322
eil51,EdgeRand,1.0,8,1654,426,288.26291079812205,0.000380
eil51,EdgeRand,1.0,9,1547,426,263.1455399061033,0.000321
eil51,EdgeRand,1.0,10,1568,426,268.07511737089203,0.000380
eil51,EdgeRand,1.0,11,1672,426,292.4882629107981,0.000349
eil51,EdgeRand,1.0,12,1821,426,327.46478873239437,0.000327
eil51,EdgeRand,1.0,13,1749,426,310.5633802816902,0.000297
eil51,EdgeRand,1.0,14,1618,426,279.8122065727699,0.000250
eil51,EdgeRand,1.0,15,1679,426,294.13145539906105,0.000259
eil51,EdgeRand,1.0,16,1560,426,266.19718309859155,0.000197
eil51,EdgeRand,1.0,17,1638,426,284.50704225352115,0.000184
eil51,EdgeRand,1.0,18,1420,426,233.33333333333334,0.000181
eil51,EdgeRand,1.0,19,1741,426,308.68544600938964,0.000296
eil51,EdgeRand,1.0,20,1728,426,305.6338028169014,0.000291
eil51,EdgeRand,1.0,21,1700,426,299.06103286384973,0.000301
eil51,EdgeRand,1.0,22,1806,426,323.943661971831,0.000216
eil51,EdgeRand,1.0,23,1836,426,330.98591549295776,0.000226
eil51,EdgeRand,1.0,24,1805,426,323.70892018779347,0.000213
eil51,EdgeRand,1.0,25,1766,426,314.55399061032864,0.000303
eil51,EdgeRand,1.0,26,1732,426,306.57276995305165,0.000554
eil51,EdgeRand,1.0,27,1490,426,249.76525821596246,0.000290
eil51,EdgeRand,1.0,28,1761,426,313.38028169014086,0.000267
eil51,EdgeRand,1.0,29,1684,426,295.30516431924883,0.000322
eil51,EdgeRand,1.0,30,1721,426,303.9906103286385,0.000273
eil51,EdgeRand,30.0,1,1622,426,280.7511737089202,0.000357
eil51,EdgeRand,30.0,2,1656,426,288.7323943661972,0.000350
eil51,EdgeRand,30.0,3,1805,426,323.70892018779347,0.000279
eil51,EdgeRand,30.0,4,1574,426,269.4835680751174,0.000282
eil51,EdgeRand,30.0,5,1632,426,283.09859154929575,0.000292
eil51,EdgeRand,30.0,6,1708,426,300.93896713615027,0.000267
eil51,EdgeRand,30.0,7,1614,426,278.8732394366197,0.000229
eil51,EdgeRand,30.0,8,1654,426,288.26291079812205,0.000241
eil51,EdgeRand,30.0,9,1547,426,263.1455399061033,0.000243
eil51,EdgeRand,30.0,10,1568,426,268.07511737089203,0.000335
eil51,EdgeRand,30.0,11,1672,426,292.4882629107981,0.000339
eil51,EdgeRand,30.0,12,1821,426,327.46478873239437,0.000347
eil51,EdgeRand,30.0,13,1749,426,310.5633802816902,0.000243
eil51,EdgeRand,30.0,14,1618,426,279.8122065727699,0.000347
eil51,EdgeRand,30.0,15,1679,426,294.13145539906105,0.000502
eil51,EdgeRand,30.0,16,1560,426,266.19718309859155,0.000408
eil51,EdgeRand,30.0,17,1638,426,284.50704225352115,0.000321
eil51,EdgeRand,30.0,18,1420,426,233.33333333333334,0.002254
eil51,EdgeRand,30.0,19,1741,426,308.68544600938964,0.000476
eil51,EdgeRand,30.0,20,1728,426,305.6338028169014,0.000743
eil51,EdgeRand,30.0,21,1700,426,299.06103286384973,0.000560
eil51,EdgeRand,30.0,22,1806,426,323.943661971831,0.000341
eil51,EdgeRand,30.0,23,1836,426,330.98591549295776,0.000706
eil51,EdgeRand,30.0,24,1805,426,323.70892018779347,0.000473
eil51,EdgeRand,30.0,25,1766,426,314.55399061032864,0.000362
eil51,EdgeRand,30.0,26,1732,426,306.57276995305165,0.001000
eil51,EdgeRand,30.0,27,1490,426,249.76525821596246,0.000337
eil51,EdgeRand,30.0,28,1761,426,313.38028169014086,0.000328
eil51,EdgeRand,30.0,29,1684,426,295.30516431924883,0.000720
eil51,EdgeRand,30.0,30,1721,426,303.9906103286385,0.000585
eil51,EdgeRand,300.0,1,1622,426,280.7511737089202,0.000531
eil51,EdgeRand,300.0,2,1656,426,288.7323943661972,0.000557
eil51,EdgeRand,300.0,3,1805,426,323.70892018779347,0.000688
eil51,EdgeRand,300.0,4,1574,426,269.4835680751174,0.000459
eil51,EdgeRand,300.0,5,1632,426,283.09859154929575,0.000705
eil51,EdgeRand,300.0,6,1708,426,300.93896713615027,0.000432
eil51,EdgeRand,300.0,7,1614,426,278.8732394366197,0.000606
eil51,EdgeRand,300.0,8,1654,426,288.26291079812205,0.000398
eil51,EdgeRand,300.0,9,1547,426,263.1455399061033,0.000343
eil51,EdgeRand,300.0,10,1568,426,268.07511737089203,0.000414
eil51,EdgeRand,300.0,11,1672,426,292.4882629107981,0.000458
eil51,EdgeRand,300.0,12,1821,426,327.46478873239437,0.000288
eil51,EdgeRand,300.0,13,1749,426,310.5633802816902,0.000330
eil51,EdgeRand,300.0,14,1618,426,279.8122065727699,0.000404
eil51,EdgeRand,300.0,15,1679,426,294.13145539906105,0.000410
eil51,EdgeRand,300.0,16,1560,426,266.19718309859155,0.000316
eil51,EdgeRand,300.0,17,1638,426,284.50704225352115,0.000269
eil51,EdgeRand,300.0,18,1420,426,233.33333333333334,0.000420
eil51,EdgeRand,300.0,19,1741,426,308.68544600938964,0.000512
eil51,EdgeRand,300.0,20,1728,426,305.6338028169014,0.000320
eil51,EdgeRand,300.0,21,1700,426,299.06103286384973,0.000264
eil51,EdgeRand,300.0,22,1806,426,323.943661971831,0.000572
eil51,EdgeRand,300.0,23,1836,426,330.98591549295776,0.000523
eil51,EdgeRand,300.0,24,1805,426,323.70892018779347,0.000315
eil51,EdgeRand,300.0,25,1766,426,314.55399061032864,0.000303
eil51,EdgeRand,300.0,26,1732,426,306.57276995305165,0.000865
eil51,EdgeRand,300.0,27,1490,426,249.76525821596246,0.000280
eil51,EdgeRand,300.0,28,1761,426,313.38028169014086,0.000290
eil51,EdgeRand,300.0,29,1684,426,295.30516431924883,0.000527
eil51,EdgeRand,300.0,30,1721,426,303.9906103286385,0.000490
berlin52,lkh,1.0,1,7542,7542,0.0,0.026878
berlin52,lkh,1.0,2,7542,7542,0.0,0.029618
berlin52,lkh,1.0,3,7542,7542,0.0,0.032157
berlin52,lkh,1.0,4,7542,7542,0.0,0.029439
berlin52,lkh,1.0,5,7542,7542,0.0,0.023838
berlin52,lkh,1.0,6,7542,7542,0.0,0.017240
berlin52,lkh,1.0,7,7542,7542,0.0,0.016782
berlin52,lkh,1.0,8,7542,7542,0.0,0.016450
berlin52,lkh,1.0,9,7542,7542,0.0,0.019753
berlin52,lkh,1.0,10,7542,7542,0.0,0.017639
berlin52,lkh,1.0,11,7542,7542,0.0,0.016803
berlin52,lkh,1.0,12,7542,7542,0.0,0.018525
berlin52,lkh,1.0,13,7542,7542,0.0,0.018106
berlin52,lkh,1.0,14,7542,7542,0.0,0.017221
berlin52,lkh,1.0,15,7542,7542,0.0,0.018316
berlin52,lkh,1.0,16,7542,7542,0.0,0.018573
berlin52,lkh,1.0,17,7542,7542,0.0,0.017695
berlin52,lkh,1.0,18,7542,7542,0.0,0.018004
berlin52,lkh,1.0,19,7542,7542,0.0,0.017736
berlin52,lkh,1.0,20,7542,7542,0.0,0.017031
berlin52,lkh,1.0,21,7542,7542,0.0,0.021312
berlin52,lkh,1.0,22,7542,7542,0.0,0.021067
berlin52,lkh,1.0,23,7542,7542,0.0,0.019125
berlin52,lkh,1.0,24,7542,7542,0.0,0.016562
berlin52,lkh,1.0,25,7542,7542,0.0,0.016618
berlin52,lkh,1.0,26,7542,7542,0.0,0.017269
berlin52,lkh,1.0,27,7542,7542,0.0,0.015729
berlin52,lkh,1.0,28,7542,7542,0.0,0.017488
berlin52,lkh,1.0,29,7542,7542,0.0,0.018725
berlin52,lkh,1.0,30,7542,7542,0.0,0.017962
berlin52,lkh,30.0,1,7542,7542,0.0,0.016314
berlin52,lkh,30.0,2,7542,7542,0.0,0.015846
berlin52,lkh,30.0,3,7542,7542,0.0,0.016497
berlin52,lkh,30.0,4,7542,7542,0.0,0.017445
berlin52,lkh,30.0,5,7542,7542,0.0,0.017339
berlin52,lkh,30.0,6,7542,7542,0.0,0.017498
berlin52,lkh,30.0,7,7542,7542,0.0,0.016410
berlin52,lkh,30.0,8,7542,7542,0.0,0.018396
berlin52,lkh,30.0,9,7542,7542,0.0,0.017218
berlin52,lkh,30.0,10,7542,7542,0.0,0.018549
berlin52,lkh,30.0,11,7542,7542,0.0,0.018489
berlin52,lkh,30.0,12,7542,7542,0.0,0.018274
berlin52,lkh,30.0,13,7542,7542,0.0,0.018538
berlin52,lkh,30.0,14,7542,7542,0.0,0.017308
berlin52,lkh,30.0,15,7542,7542,0.0,0.018658
berlin52,lkh,30.0,16,7542,7542,0.0,0.018033
berlin52,lkh,30.0,17,7542,7542,0.0,0.019116
berlin52,lkh,30.0,18,7542,7542,0.0,0.017292
berlin52,lkh,30.0,19,7542,7542,0.0,0.018396
berlin52,lkh,30.0,20,7542,7542,0.0,0.016658
berlin52,lkh,30.0,21,7542,7542,0.0,0.017016
berlin52,lkh,30.0,22,7542,7542,0.0,0.017769
berlin52,lkh,30.0,23,7542,7542,0.0,0.018151
berlin52,lkh,30.0,24,7542,7542,0.0,0.016421
berlin52,lkh,30.0,25,7542,7542,0.0,0.016011
berlin52,lkh,30.0,26,7542,7542,0.0,0.017025
berlin52,lkh,30.0,27,7542,7542,0.0,0.018100
berlin52,lkh,30.0,28,7542,7542,0.0,0.017489
berlin52,lkh,30.0,29,7542,7542,0.0,0.017776
berlin52,lkh,30.0,30,7542,7542,0.0,0.015458
berlin52,lkh,300.0,1,7542,7542,0.0,0.017568
berlin52,lkh,300.0,2,7542,7542,0.0,0.016568
berlin52,lkh,300.0,3,7542,7542,0.0,0.016711
berlin52,lkh,300.0,4,7542,7542,0.0,0.018156
berlin52,lkh,300.0,5,7542,7542,0.0,0.017598
berlin52,lkh,300.0,6,7542,7542,0.0,0.016529
berlin52,lkh,300.0,7,7542,7542,0.0,0.017519
berlin52,lkh,300.0,8,7542,7542,0.0,0.017582
berlin52,lkh,300.0,9,7542,7542,0.0,0.018365
berlin52,lkh,300.0,10,7542,7542,0.0,0.016924
berlin52,lkh,300.0,11,7542,7542,0.0,0.021215
berlin52,lkh,300.0,12,7542,7542,0.0,0.022173
berlin52,lkh,300.0,13,7542,7542,0.0,0.019474
berlin52,lkh,300.0,14,7542,7542,0.0,0.017915
berlin52,lkh,300.0,15,7542,7542,0.0,0.017522
berlin52,lkh,300.0,16,7542,7542,0.0,0.017830
berlin52,lkh,300.0,17,7542,7542,0.0,0.016292
berlin52,lkh,300.0,18,7542,7542,0.0,0.016272
berlin52,lkh,300.0,19,7542,7542,0.0,0.016033
berlin52,lkh,300.0,20,7542,7542,0.0,0.017090
berlin52,lkh,300.0,21,7542,7542,0.0,0.017515
berlin52,lkh,300.0,22,7542,7542,0.0,0.015951
berlin52,lkh,300.0,23,7542,7542,0.0,0.018667
berlin52,lkh,300.0,24,7542,7542,0.0,0.017066
berlin52,lkh,300.0,25,7542,7542,0.0,0.016860
berlin52,lkh,300.0,26,7542,7542,0.0,0.016166
berlin52,lkh,300.0,27,7542,7542,0.0,0.017506
berlin52,lkh,300.0,28,7542,7542,0.0,0.018735
berlin52,lkh,300.0,29,7542,7542,0.0,0.017346
berlin52,lkh,300.0,30,7542,7542,0.0,0.018099
berlin52,EdgeRand,1.0,1,30745,7542,307.65049058605143,0.000425
berlin52,EdgeRand,1.0,2,29368,7542,289.3927340228056,0.000524
berlin52,EdgeRand,1.0,3,30344,7542,302.3335985149828,0.000466
berlin52,EdgeRand,1.0,4,30094,7542,299.01882789710953,0.000343
berlin52,EdgeRand,1.0,5,29987,7542,297.60010607265974,0.000421
berlin52,EdgeRand,1.0,6,25938,7542,243.9140811455847,0.000497
berlin52,EdgeRand,1.0,7,30002,7542,297.79899230973217,0.000406
berlin52,EdgeRand,1.0,8,27747,7542,267.8997613365155,0.000309
berlin52,EdgeRand,1.0,9,30815,7542,308.578626359056,0.000619
berlin52,EdgeRand,1.0,10,29487,7542,290.9705648369133,0.000691
berlin52,EdgeRand,1.0,11,31786,7542,321.45319543887564,0.000285
berlin52,EdgeRand,1.0,12,25995,7542,244.66984884645981,0.000342
berlin52,EdgeRand,1.0,13,30632,7542,306.1522142667728,0.000337
berlin52,EdgeRand,1.0,14,30638,7542,306.2317687616017,0.000387
berlin52,EdgeRand,1.0,15,30837,7542,308.8703261734288,0.000565
berlin52,EdgeRand,1.0,16,33509,7542,344.29859453725805,0.000458
berlin52,EdgeRand,1.0,17,31175,7542,313.35189604879344,0.000316
berlin52,EdgeRand,1.0,18,31228,7542,314.05462741978255,0.001012
berlin52,EdgeRand,1.0,19,28145,7542,273.1768761601697,0.000576
berlin52,EdgeRand,1.0,20,31160,7542,313.15300981172106,0.000680
berlin52,EdgeRand,1.0,21,31010,7542,311.1641474409971,0.000567
berlin52,EdgeRand,1.0,22,30476,7542,304.08379740121984,0.000453
berlin52,EdgeRand,1.0,23,32057,7542,325.04640678865024,0.000566
berlin52,EdgeRand,1.0,24,26866,7542,256.2185096791302,0.000412
berlin52,EdgeRand,1.0,25,28574,7542,278.8650225404402,0.001100
berlin52,EdgeRand,1.0,26,25860,7542,242.87987271280826,0.000380
berlin52,EdgeRand,1.0,27,28594,7542,279.13020418987,0.001260
berlin52,EdgeRand,1.0,28,30423,7542,303.38106603023067,0.000322
berlin52,EdgeRand,1.0,29,30191,7542,300.3049588968443,0.000787
berlin52,EdgeRand,1.0,30,30985,7542,310.83267037920973,0.000452
berlin52,EdgeRand,30.0,1,30745,7542,307.65049058605143,0.001096
berlin52,EdgeRand,30.0,2,29368,7542,289.3927340228056,0.000542
berlin52,EdgeRand,30.0,3,30344,7542,302.3335985149828,0.000586
berlin52,EdgeRand,30.0,4,30094,7542,299.01882789710953,0.000404
berlin52,EdgeRand,30.0,5,29987,7542,297.60010607265974,0.000767
berlin52,EdgeRand,30.0,6,25938,7542,243.9140811455847,0.000555
berlin52,EdgeRand,30.0,7,30002,7542,297.79899230973217,0.000625
berlin52,EdgeRand,30.0,8,27747,7542,267.8997613365155,0.000554
berlin52,EdgeRand,30.0,9,30815,7542,308.578626359056,0.000559
berlin52,EdgeRand,30.0,10,29487,7542,290.9705648369133,0.000454
berlin52,EdgeRand,30.0,11,31786,7542,321.45319543887564,0.000476
berlin52,EdgeRand,30.0,12,25995,7542,244.66984884645981,0.000522
